Sesión,Nombre del vídeo,Descripción,URL
1,"Primero de secundaria, plano cartesiano y guía turística",Introduce el vínculo entre plano cartesiano y guía turística; útil para presentar el reto global de la SdA. (YouTube),https://www.youtube.com/watch?v=-owhWW76MkU
1,"El Folleto Informativo: Definición, Características y Tipos",Sirve para contextualizar el producto final como pieza informativa y divulgativa. (YouTube),https://www.youtube.com/watch?v=mbCZNwEX_kY
2,¿QUÉ SON LAS MAGNITUDES?,"Muy útil para distinguir qué se puede medir y representar; encaja con ubicación, medida y dato. (YouTube)",https://www.youtube.com/watch?v=51oQYS0wUVI
3,PLANO CARTESIANO Super facil,Explica ejes y localización en el plano; ideal para introducir el mapa por cuadrantes. (YouTube),https://www.youtube.com/watch?v=kzOzYY-T-50
4,Ubicar un punto en el PLANO CARTESIANO Super facil - Para principiantes,"Vídeo muy práctico para leer, escribir y situar coordenadas. (YouTube)",https://www.youtube.com/watch?v=0cUkAd2o1yw
5,"Segmento y rectas: tipos de rectas paralelas, secantes y perpendiculares","Encaja con la identificación de rectas, segmentos, paralelas y perpendiculares en el plano urbano. (YouTube)",https://www.youtube.com/watch?v=d8vLfNu2WOg
5,TIPOS DE ÁNGULOS Super facil | Para principiantes,Complementa la parte de ángulos de la sesión 5. (YouTube),https://www.youtube.com/watch?v=-zLWJYY42GU
6,Triángulos y Cuadriláteros,Útil para clasificar figuras planas presentes en el plano de la ciudad. (YouTube),https://www.youtube.com/watch?v=MGK4qiNh5G0
6,Esto No Es Lo Mismo: Círculo y Circunferencia,"Muy apropiado para diferenciar círculo y circunferencia cuando aparezcan en plazas, rotondas o zonas del mapa. (YouTube)",https://www.youtube.com/watch?v=lfqQicdc7xY
7,PERIMETRO DE TODAS LAS FIGURAS Super facil - Para principiantes,Muy útil para calcular perímetros de barrios o zonas modelizadas. (YouTube),https://www.youtube.com/watch?v=OTT8SKMdBD8
8,ÁREAS Y PERÍMETROS Super Facil,Buen apoyo para el cálculo de áreas de figuras simples y compuestas. (YouTube),https://www.youtube.com/watch?v=wYNvY_bOGdc
9,ÁREAS Y PERÍMETROS Super Facil,Recomendable también para contrastar perímetro y área y evitar confusiones. (YouTube),https://www.youtube.com/watch?v=wYNvY_bOGdc
10,DISTANCIA ENTRE DOS PUNTOS Super Facil,Muy alineado con la medición de distancias y la elección de rutas en el plano. (YouTube),https://www.youtube.com/watch?v=ONf6ed_eb9M
11,Variables matemáticas: variable dependiente y variable independiente ¿Qué son?,Ideal para introducir la diferencia entre variable independiente y dependiente en contexto urbano. (YouTube),https://www.youtube.com/c/MatesEnSegundos
12,Tablas y Diagramas de barras | Aula chachi,Sirve como apoyo para organizar datos y empezar a pasar de información a tabla. (YouTube),https://www.youtube.com/watch?v=CvVZpYZcZls
13,Tabla de valores y gráfica de función lineal,Muy adecuado para pasar de tabla a gráfica. (YouTube),https://www.youtube.com/hashtag/funci%C3%B3nlineal
14,Gráficos de barra [Lectura e interpretación] - Video educativo,"Encaja bien para trabajar lectura de valores, máximos y comparaciones básicas. (YouTube)",https://www.youtube.com/watch?v=ywBF44-bar0
14,Gráficos de líneas (Lectura e interpretación) - Video educativo,"Muy útil para interpretar evolución temporal, crecimiento y decrecimiento. (YouTube)",https://www.youtube.com/watch?v=EwBUV5H3piw
15,Gráficos de barra [Lectura e interpretación] - Video educativo,Puede reutilizarse para comparar representaciones con apoyo guiado del docente. (YouTube),https://www.youtube.com/watch?v=ywBF44-bar0
15,Gráficos de líneas (Lectura e interpretación) - Video educativo,Ayuda a comparar tendencias entre dos gráficas en contexto. (YouTube),https://www.youtube.com/watch?v=EwBUV5H3piw
16,PROPORCIONALIDAD DIRECTA Super facil,El más claro para introducir relaciones funcionales sencillas y proporcionalidad directa. (YouTube),https://www.youtube.com/watch?v=nP9SwAqhVTI
17,"El Folleto Informativo: Definición, Características y Tipos",Buen apoyo para seleccionar información relevante y entender qué debe contener una guía. (YouTube),https://www.youtube.com/watch?v=mbCZNwEX_kY
18,"El Folleto Informativo: Definición, Características y Tipos",También puede servir como apoyo para maquetación básica y estructura del producto. (YouTube),https://www.youtube.com/watch?v=mbCZNwEX_kY
19,Cómo empezar una presentación en público,Muy útil para ensayar una exposición breve y clara de la guía final. (YouTube),https://www.youtube.com/watch?v=tYnDMmkRvSQ
19,Cómo terminar un discurso,Buen complemento para cerrar la exposición con claridad. (YouTube),https://www.youtube.com/watch?v=TdMIl4owCW4
20,Cómo terminar un discurso,Puede usarse como último recordatorio antes de la exposición final y el cierre. (YouTube),https://www.youtube.com/watch?v=TdMIl4owCW4
